Format Version,1.23,Take Name,Soap_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-08 11.31.32.896 AM,Capture Start Frame,192254,Total Frames in Take,5449,Total Exported Frames,5449,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051
,ID,"C4C90","C4C90","C4C90"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
496,4.133333,0.065464,0.521728,-0.804958
497,4.141667,0.065419,0.521545,-0.804665
498,4.150000,0.065476,0.521306,-0.804358
499,4.158333,0.065946,0.520713,-0.803916
500,4.166667,0.065973,0.520601,-0.803723
501,4.175000,0.066046,0.520499,-0.803572
502,4.183333,0.066362,0.520223,-0.803583
503,4.191667,0.066504,0.520107,-0.803573
504,4.200000,0.066632,0.520059,-0.803541
505,4.208333,0.066771,0.519994,-0.803481
506,4.216667,0.066854,0.519948,-0.803314
507,4.225000,0.066505,0.520146,-0.803322
508,4.233333,0.066980,0.519698,-0.802875
509,4.241667,0.067035,0.519497,-0.802573
510,4.250000,0.067039,0.519388,-0.802295
511,4.258333,0.066599,0.519675,-0.802190
512,4.266667,0.066556,0.519618,-0.801857
513,4.275000,0.066560,0.519403,-0.801618
514,4.283333,0.066497,0.519315,-0.801412
515,4.291667,0.066856,0.518791,-0.800983
516,4.300000,0.066784,0.518788,-0.800772
517,4.308333,0.066689,0.518736,-0.800661
518,4.316667,0.066589,0.518734,-0.800566
519,4.325000,0.066515,0.518717,-0.800497
520,4.333333,0.066427,0.518713,-0.800429
521,4.341667,0.065944,0.519029,-0.800569
522,4.350000,0.065889,0.519022,-0.800529
523,4.358333,0.065839,0.519015,-0.800494
524,4.366667,0.065805,0.519011,-0.800484
525,4.375000,0.065784,0.518998,-0.800488
526,4.383333,0.065767,0.518999,-0.800497
527,4.391667,0.065761,0.519008,-0.800496
528,4.400000,0.065780,0.518994,-0.800517
529,4.408333,0.065784,0.518996,-0.800514
530,4.416667,0.065781,0.518994,-0.800522
531,4.425000,0.065775,0.519000,-0.800539
532,4.433333,0.065784,0.518995,-0.800571
533,4.441667,0.065795,0.518993,-0.800627
534,4.450000,0.065816,0.518986,-0.800722
535,4.458333,0.066278,0.518631,-0.800660
536,4.466667,0.066316,0.518602,-0.800800
537,4.475000,0.066338,0.518593,-0.800819
538,4.483333,0.066317,0.518594,-0.800725
539,4.491667,0.065875,0.518890,-0.800835
540,4.500000,0.065865,0.518835,-0.800745
541,4.508333,0.065859,0.518779,-0.800613
